Squadra 1;Squadra 2;gol per squadra 1T;differenza punti in classifica (sq1sq2);minuti di gioco 1T;cartellini gialli 1;cartellini rossi 1;formazione1;Possesso Palla (min) 1;posizione media (mt) 1;calci d angolo 1;calci di punizione cross 1 ;calci di punizione tiri 1;falli fatti 1;fuorigioco 1;passaggi riusciti (percent) 1;passaggi lunghi riusciti (percent)  1;passaggi filtranti riusciti (percent)  1;contropiede 1;occasioni da gol  1;tiri in porta 1;cross 1;parate 1;uscite portiere 1;recupero palla per fine azione 1;recupero palla effettivo 1;recupero palla temporaneo 1;somma punti nelle due partite precedenti 1;valore rosa squadra 1;valore di mercato squadra Mln eur 1;cartellini gialli 2;cartellini rossi 2;formazione2;Possesso Palla (min) 2;posizione media (mt) 2 ;calci dangolo 2;calci di punizione cross 2 ;calci di punizione tiri 2;falli fatti 2;fuorigioco 2;passaggi riusciti  (percent) 2;passaggi lunghi riusciti (percent)   2;passaggi filtranti riusciti (percent)  2;contropiede 2;occasioni da gol  2;tiri in porta 2;cross 2;parate 2;uscite portiere 2;recupero palla per fine azione 2;recupero palla effettivo 2;recupero palla temporaneo 2;somma punti nelle due partite precedenti 2;valore rosa squadra 2;valore di mercato squadra Mln eur 2;risultato
Empoli;Internazionale;0;-7;46;0;0;4312;17;53.37;4;1;0;5;1;84.8;80;45.5;2;4;7;3;1;1;20;19;21;1;45.73;1.83;0;0;4312;12;42.59;2;1;0;10;0;73.1;54.8;33.3;0;2;2;0;1;2;17;32;14;4;247.2;8.83;x
Hellas Verona;Atalanta;0;1;45;1;0;532;17;55.28;0;1;0;5;0;85.9;68.8;66.7;0;6;6;6;2;1;13;23;10;3;38.85;1.39;1;0;442;16;47.4;0;0;0;6;0;86.8;70;0;0;5;6;7;2;2;17;28;11;4;53.75;1.79;A
Internazionale;Torino;0;4;48;0;0;4231;22;56.19;6;0;0;6;2;92.2;60;20;0;4;7;1;0;0;19;25;7;4;247.2;8.83;0;0;352;10;40;3;0;0;8;0;74.6;52.8;33.3;3;1;1;2;1;1;17;8;17;4;61.3;2.19;B
Juventus;Chievo;0;28;50;1;0;4312;15;56.45;7;1;1;9;1;84.8;78.3;0;2;11;15;5;0;1;14;30;13;6;318.2;11.79;4;0;4411;10;43.78;0;1;1;10;0;73;56;33.3;0;2;3;1;3;3;13;15;17;1;47.2;1.97;A
Empoli;Udinese;1;-5;47;1;0;4312;16;;2;1;2;4;0;84.2;45.2;40;2;7;8;4;1;0;19;33;14;1;45.73;1.83;1;0;352;13;44.6;3;2;0;9;2;68.8;61.9;0;1;1;4;4;3;1;21;14;20;2;87.9;2.93;B
Atalanta;Cagliari;1;1;46;2;0;442;15;48.58;8;1;0;7;1;79.5;56.4;60;0;4;4;5;3;0;18;18;24;3;55.05;1.84;2;0;4321;15;48.33;3;1;0;8;1;83.6;58.3;20;0;5;5;0;2;1;20;15;18;4;66.3;2.07;A
Cesena;Lazio;0;-22;47;0;0;4312;14;51.89;1;0;0;9;1;79.9;72.4;50;1;2;6;4;4;3;17;26;8;3;24.75;0.95;0;0;433;16;49.98;4;1;1;4;1;80.3;61.8;28.6;0;4;6;2;0;0;25;18;20;3;156.1;4.88;A
Chievo;Napoli;1;-18;95;0;0;442;14;51.45;1;3;0;3;2;81.8;64;0;0;7;9;7;1;2;10;30;17;0;50.7;2.03;0;0;4231;16;51.52;5;0;0;8;3;84.3;47.4;28.6;15;5;4;2;1;1;19;24;14;6;252.95;9.37;B
Milan;Parma;1;23;45;2;0;4231;19;48.43;0;1;2;11;1;90.1;70.5;50;0;5;7;2;3;1;13;19;13;0;212.9;7.34;2;0;4231;12;51.12;4;2;0;10;1;79.3;53.8;33.3;0;3;6;2;3;2;16;17;11;0;64.25;2.07;A
Palermo;Hellas Verona;1;3;47;0;0;3421;20;54.79;5;2;1;;1;91.3;35.7;0;;4;7;2;2;0;13;36;9;2;66.8;2.15;1;0;352;;45.67;2;0;0;5;1;78.1;55.2;0;3;1;2;1;3;0;14;19;13;3;38.65;1.43;A
Udinese;Juventus;0;-22;45;0;0;352;12;45.05;1;0;0;6;3;75;50;57.1;3;5;6;1;1;1;15;23;15;4;80.1;2.67;0;0;352;19;55.95;5;2;0;5;2;83.4;41.4;0;0;5;7;3;2;1;25;19;18;6;320;11.43;x
Fiorentina;Atalanta;1;9;46;0;0;3511;18;52.62;1;2;1;6;0;84.2;61.9;0;0;4;7;3;3;0;14;25;18;2;197.25;5.8;1;0;4411;13;47.91;4;0;0;11;2;72.6;59.1;0;0;5;8;3;2;0;16;18;21;3;55.05;1.84;A
Sampdoria;Sassuolo;1;6;47;1;0;4312;13;44.03;2;2;0;14;5;78.7;33.3;0;0;2;4;1;3;0;19;11;14;1;109.5;3.91;3;0;433;12;53.71;3;2;1;12;0;77;74.2;28.6;1;5;7;3;2;0;21;23;12;3;80.68;3.23;x
Parma;Chievo;0;-15;47;3;1;433;14;52.71;2;1;0;17;0;82.2;73.8;0;1;6;6;3;0;2;20;37;15;0;64.25;2.07;0;0;442;16;50.45;0;2;0;11;1;74.4;51.4;0;0;1;2;3;1;0;17;31;13;0;50.7;2.03;B
Roma;Parma;0;43;45;0;0;433;21;54.47;5;2;0;0;0;89.1;85.2;25;0;8;9;5;0;2;20;22;14;4;260.7;8.69;1;0;4411;12;43.93;3;0;0;8;2;75.6;47.1;50;1;1;3;1;2;2;16;24;8;0;47.85;1.84;x
Torino;Cagliari;1;12;46;1;0;352;14;48.35;2;1;0;11;3;80.9;42.9;75;0;5;7;3;2;0;13;14;20;6;57.7;2.31;0;0;4312;15;50.12;1;2;1;7;0;81.9;57.1;10;0;2;5;1;2;1;19;19;18;0;61.6;2.12;x
Fiorentina;Torino;0;6;46;1;0;3421;17;62.37;5;0;3;11;1;87.7;70.4;60;4;6;10;2;1;0;14;30;9;6;171.95;5.37;2;0;352;13;39.18;0;0;0;9;1;83.7;70.3;0;4;4;4;1;3;1;17;15;12;4;57.7;2.31;x
Hellas Verona;Roma;1;-23;46;1;0;451;8;45.73;5;1;0;7;2;68.8;62.5;0;1;2;3;2;4;0;14;18;12;0;38.45;1.42;0;0;4312;;54.27;3;3;1;;2;92.4;71.4;22.2;0;8;9;3;1;0;16;22;9;4;260.7;8.69;x
Lazio;Palermo;1;4;45;1;0;433;18;51.56;4;2;0;8;3;83.2;70.4;33.3;0;4;6;3;3;1;20;27;16;3;152.1;4.91;1;0;352;13;44.06;1;1;0;9;0;76.6;53.8;0;1;6;6;0;2;2;14;27;16;3;63.4;2.26;A
Cagliari;Internazionale;0;-12;45;1;0;4321;12;46.29;1;0;0;10;3;69.9;41.5;0;1;2;3;1;5;4;15;15;14;1;61.6;2.12;1;0;4312;21;51.11;4;0;0;9;0;88.9;64.4;62.5;16;11;12;5;1;1;18;33;7;6;226.7;8.4;B
Napoli;Sassuolo;0;13;47;1;0;4231;15;55.12;4;1;0;10;2;83.4;66.7;0;2;6;7;4;0;0;17;22;13;3;251.25;9.66;1;0;433;14;41.73;1;2;0;6;1;83;58.3;25;5;;4;0;1;1;;27;8;1;82.05;3.04;A
Sampdoria;Genoa;1;0;45;2;0;4312;13;44.34;1;3;0;8;0;76.8;68;11.1;0;5;5;1;3;2;14;20;14;1;108.7;3.88;1;0;343;16;52.58;3;0;1;11;0;86.4;77.8;33.3;0;6;7;4;2;1;;14;19;6;81.8;3.27;x
Chievo;Milan;0;-9;45;0;0;442;12;53.88;3;0;0;8;2;80.7;61.9;57.1;2;0;2;1;2;0;14;24;13;3;52.68;1.95;1;0;4312;20;47.83;1;0;1;7;2;90.4;75;100;1;3;7;2;0;3;;26;7;4;220.9;7.13;x
Cesena;Udinese;0;-12;45;3;0;4312;15;52.45;3;3;0;8;0;83.8;82.4;75;4;0;6;3;1;0;19;22;15;1;25.25;0.94;1;0;3511;12;48.39;4;1;0;8;3;78.3;61.5;25;2;1;3;3;2;1;;16;17;0;77.35;2.86;A
Internazionale;Fiorentina;0;-4;46;0;0;4312;19;52.05;2;1;0;8;1;87.9;67.5;50;8;3;4;3;2;0;12;30;14;6;227.4;8.12;1;0;4141;14;46.37;1;0;1;9;1;84.2;75.9;33.3;5;2;5;3;0;1;;18;15;4;171.95;5.37;B
Palermo;Empoli;0;6;47;1;0;352;14;52.1;3;3;0;5;5;83.9;63.6;60;0;8;10;2;2;0;11;23;16;3;63.4;2.26;2;0;4312;15;47.14;2;0;0;11;2;85.4;57.9;22.2;6;5;6;2;2;0;;21;16;4;43.93;1.91;x
Torino;Napoli;0;-12;46;1;0;352;19;51.16;0;0;0;6;0;87.5;73;25;1;4;5;5;2;0;11;25;14;2;57.7;2.31;1;0;4231;16;52.22;1;1;0;4;1;85.3;66.7;0;5;3;3;0;1;0;;20;12;3;251.25;9.66;A
Roma;Juventus;0;-9;45;2;0;433;19;52.81;0;1;0;6;0;85.6;61.1;0;0;0;2;1;0;2;18;26;12;2;260.7;8.69;1;0;352;12;45.62;4;1;0;7;0;76.2;55.6;30.8;3;2;3;1;0;0;;23;13;4;321.7;11.91;x
Milan;Hellas Verona;1;6;46;1;0;4312;20;54.41;2;2;1;7;0;90.1;53.3;58.3;0;6;8;3;3;2;17;20;15;4;220.9;7.13;1;0;433;11;45.22;1;1;1;9;1;76;65.2;50;11;7;8;1;2;0;;10;23;4;38.45;1.42;x
Cesena;Palermo;0;-15;46;1;0;4312;10;44.08;2;1;0;10;1;77.9;52.9;0;4;1;1;1;1;1;16;20;18;3;25.25;0.94;2;0;4321;18;51.18;2;1;0;8;1;86;75;20;0;2;6;4;1;0;;34;11;1;63.4;2.26;x
Chievo;Roma;0;-24;60;1;0;442;12;52.77;3;1;0;7;1;69.4;56;66.7;0;2;4;5;2;0;17;20;20;1;52.68;1.95;2;0;433;16;44.48;4;0;2;7;0;77.6;50;0;4;4;6;1;0;2;;29;19;2;260.7;8.69;x
Napoli;Internazionale;0;10;46;1;0;4231;13;51.25;3;2;0;7;2;80;56.5;60;9;9;10;2;2;0;20;23;19;3;251.25;9.66;2;0;4312;17;46.6;2;1;0;11;2;83.3;50;66.7;0;4;6;1;4;1;;25;16;3;227.4;8.12;x
Parma;Atalanta;0;-16;45;1;0;4411;15;50.45;2;0;0;12;0;83.3;52;0;3;3;4;4;2;1;15;20;16;3;43.25;1.8;0;0;433;18;47.76;1;0;0;7;0;84.1;48.6;0;3;1;6;3;2;2;;25;5;0;54.35;1.87;x
Juventus;Sassuolo;0;29;45;1;0;4312;19;56.73;8;1;0;11;0;83;61.8;0;5;6;8;2;1;1;21;31;18;4;321.7;11.91;1;0;433;10;39.37;0;1;1;7;0;71.2;45.8;0;5;1;2;0;1;1;;12;27;0;82.85;2.96;A
Palermo;Juventus;0;-26;46;2;0;3511;13;46.26;0;0;0;7;2;80.6;47.1;50;0;0;1;3;1;1;16;20;15;2;63.4;2.26;0;0;352;14;54.31;1;1;0;11;2;85.8;68.4;37.5;4;3;7;3;0;0;10;22;15;4;321.7;11.91;B
Atalanta;Udinese;0;-7;48;2;0;343;18;52.76;2;2;0;8;0;80.2;75;62.5;9;8;9;5;0;0;21;27;26;1;54.35;1.87;0;0;352;15;45.48;1;1;0;7;0;77.3;60;30;0;2;2;1;3;1;;23;25;3;77.35;2.86;x
